figure_number,text section cited in,figure_description,caption,alt_text
32,Environment and distribution,MD state survey,Bluefish length distributions in Maryland-based surveys and samples.,Six plots showing bluefish length distributions in Maryland-based surveys in May through July and September through November. Please refer to the report text for a description of the data.
33,Environment and distribution,VA state survey,Bluefish length distributions in Virginia-based surveys and samples.,Twelve plots showing bluefish length distributions in Virginia-based surveys in January through December. Please refer to the report text for a description of the data.
34,Environment and distribution,NC state survey,Bluefish length distributions in North Carolina-based surveys and samples.,Twelve plots showing bluefish length distributions in North Carolina-based surveys in January through December. Please refer to the report text for a description of the data.
35,Environment and distribution,SC state survey,Bluefish length distributions in South Carolina-based surveys and samples.,Twelve plots showing bluefish length distributions in South Carolina-based surveys in January through December. Please refer to the report text for a description of the data.
36,Environment and distribution,GA state survey,Bluefish length distributions in Georgia-based surveys and samples.,"Twelve plots showing bluefish length distributions in Georgia-based surveys in April, May, July, August, October, and November. Please refer to the report text for a description of the data."
37,Environment and distribution,FL state survey,Bluefish length distributions in Florida-based surveys and samples.,Twelve plots showing bluefish length distributions in Florida-based surveys in January through December. Please refer to the report text for a description of the data.
38,Environment and distribution,monthly summary of small bluefish locations,Summary of months when bluefish <15cm and between 15-30.3cm have been found in all coastal Atlantic states and in federal surveys. (*) Bluefish are marked as observed if the month had more than 20 fish observed over 3 or more years.,"Two tile plots with month on the x-axis and state on the y-axis. The plot on the left shows data on bluefish under 15cm. These fish were observed in New Hampshire in July through October, in Massachusetts in July through September, in Rhode Island in July, September, and October, in Connecticut in September and October, in New York in May through October, in New Jersey in July and October, in Delaware in September, in Maryland in July, September, and October, in Virginia in May and July through November, and in the NEFSC North trawl in September and October. Bluefish were observed in North Carolina in April through November, in South Carolina in April through July and September and October, in Georgia in April and May, in Florida in March, April, July, and November, and in the NEFSC South trawl regions in March and September. No fish were observed in the offshore samples from New Jersey to Virginia. The plot on the right shows data on bluefish between 15-30.3cm. These fish were observed in New Hampshire in August and September, in Massachusetts in July through September, in Rhode Island in July, September, and October, in Connecticut in September and October, in New York in May through October, in New Jersey in June through October, in Delaware in May and October, in Maryland in July, September, and October, in Virginia in April through November, and in the NEFSC North trawl in September and October. Bluefish were observed in North Carolina in every month of the year, in South Carolina in April through November, in Georgia in April, May, July, October, and November, in Florida in January through April, July, and September through November, and in the NEFSC South trawl in March and September. No fish were observed in the offshore samples from New Jersey to Virginia."
39,Environment and distribution,NH length cohorts,Length distributions of bluefish under 30.3cm by month in the New Hampshire Juvenile Finfish Survey.,"Eighteen density plots showing bluefish fork length on the x-axis and count on the y-axis in years between 1999 and 2021. Count bell curves represent the number of fish collected at each size interval in each month. In years with more than one month of samples, the peak of the bell curve increases by approximately 2-3cm per month, showing cohort growth."
40,Environment and distribution,NY length cohorts (peconic bay),"Length distributions of bluefish under 30.3cm by month in the New York Peconic Bay Small Mesh Survey. Bimodal cohort length peaks are visible in several years, including 1993, 2001, and 2007.","24 density plots showing bluefish fork length on the x-axis and count on the y-axis in years between 1987-2020. Count bell curves represent the number of fish collected at each size interval. Samples taken in 2008 and earlier were collected in June, while samples taken in 2009 and later were collected in July."
41,Environment and distribution,NY length cohorts (wliss),"Length distributions of bluefish under 30.3cm by month in the New York Western Long Island Seine Survey. Bimodal cohort length peaks are visible in several years, including 1998, 2002, and 2016.",36 density plots showing bluefish fork length on the x-axis and count on the y-axis in years between 1986-2021. Density bell curves represent the proportion of fish collected at each size interval in each month. Cohort growth of 2-3 cm/month can be seen.
42,Environment and distribution,NEAMAP length cohorts,Length distributions of bluefish under 30.3cm by month in the NEAMAP survey. Bimodal cohort length peaks are visible in several years in some states.,"Density plots showing bluefish fork length on the x-axis and count on the y-axis in the years 2007-2021 in Rhode Island, New York, New Jersey, Delaware, Maryland, Virginia, and North Carolina. Density bell curves represent the proportion of fish collected at each size interval in each month."
43,Environment and distribution,SCDNR and SEAMAP length cohorts,Length distributions of bluefish under 30.3cm by month in the South Carolina DNR Coastal Trawl (1999-2010) and SEAMAP (2011-2021) samples. Bimodal cohort length peaks are visible in North Carolina in April 2002 and November 2005.,"Density plots showing bluefish fork length on the x-axis and count on the y-axis in the years 1999-2021 in North Carolina, South Carolina, Georgia, and Florida. Density bell curves represent the proportion of fish collected at each size interval in each month."
44,Environment and distribution,NMFS bottom trawl length cohorts,"Length distributions of bluefish under 30.3cm by month in the NMFS bottom trawl fall survey. Bimodal cohort length peaks are visible in several years, including 1990, 1995, 2001, and 2006. Note, after 2008, inshore strata were no longer sampled in the NMFS survey, and were instead sampled in the NEAMAP survey.",Density plots showing bluefish fork length on the x-axis and count on the y-axis in the years 1972-2021. Density bell curves represent the proportion of fish collected at each size interval in each month.
45,Indicator selection,life history conceptual model,Life history conceptual model of bluefish.,"A conceptual model of the ecosystem factors that influence multiple life stages of bluefish. Eggs benefit from temperatures between 16-28C and salinity above 29ppt. Larvae benefit from temperatures between 17-26C and salinities above 30ppt. It is not known what affects pelagic juveniles. Estuarine juveniles benefit from warm core rings, wind and Ekman transport inshore, availability of piscine prey species, and salinities above 29ppt. Estuarine juveniles are harmed by temperatures below 12C and dissolved oxygen below 2 mg/L. Adults benefit from prey availability and good body condition. Adults are harmed by predation. Spawning benefits from temperatures above 18C, temperatures near 22C, and salinities near 29ppt."
46,Indicator methods,map of region(s) used for temperature and wind calculations,Map of the Central Atlantic region used in calculating spatially averaged indicators.,A map of the east coast of the United States with a highlighted region in the coastal ocean. The highlighted region is latitudinally bounded at approximately Cape Cod and northern South Carolina. It is longitudinally bounded by the coastline and the shelf break.
47,Indicator results,northings,"Selected ecosystem indicators for bluefish with time series ranging from 1991 - present: (a) center of gravity (northings, km) of small (<=30.3cm), (b) medium (30.3-50.0cm), and (c) large (>=50.0cm) bluefish as modeled by VAST. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Three line plots showing the values of distribution indicators over time with year on the x-axis and indicator value on the y-axis. The top plot shows the center of gravity (northings) of small bluefish. This indicator is increasing over time. The middle plot shows the center of gravity (northings) of medium bluefish. This indicator is increasing over time. The bottom plot shows the center of gravity (northings) of large bluefish. This indicator is increasing over time.
48,Indicator results,eastings,"Selected ecosystem indicators for bluefish with time series ranging from 1991 - present: (a) center of gravity (eastings, km) of small (<=30.3cm), (b) medium (30.3-50.0cm), and (c) large (>=50.0cm) bluefish as modeled by VAST. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Three line plots showing the values of distribution indicators over time with year on the x-axis and indicator value on the y-axis. The top plot shows the center of gravity (eastings) of small bluefish. This indicator is increasing over time. The middle plot shows the center of gravity (eastings) of medium bluefish. This indicator is increasing over time. The bottom plot shows the center of gravity (eastings) of large bluefish. This indicator is increasing over time.
49,Indicator results,climate (temperature) indicators,"Selected ecosystem indicators for bluefish with time series ranging from 1985 - present: (a) first day of the year when the mean temperature of the central Atlantic region is warmer than 18C, (b) last day of the year when the mean temperature of the central Atlantic is warmer than 18C, and (c) number of days when at least 75% of the central Atlantic region is warmer than 18C. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Three line plots showing the values of temperature-related climate indicators over time with year on the x-axis and indicator value on the y-axis. The top plot shows the first day of the year when the bluefish region reaches 18C. There is no trend over time. The middle plot shows the last day of the year when the bluefish region is 18C. This indicator is increasing over time. The bottom plot shows the total number of days above 18C. This indicator is increasing over time.
50,Indicator results,climate (temperature) indicators,"Selected ecosystem indicators for bluefish with time series ranging from 1985 - present: (a) proportion of the central Atlantic colder than 18C in July, (b) proportion of the central Atlantic between 18-25.6C in July, and (c) proportion of the central Atlantic warmer than 15.6C in July. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Three line plots showing the values of temperature-related climate indicators over time with year on the x-axis and indicator value on the y-axis. The top plot shows the proportion of the bluefish region between 18-25.6C. There is no trend over time. The middle plot shows the proportion of the bluefish region over 25.6C. This indicator is increasing over time. The bottom plot shows the proportion of the bluefish region under 18C. This indicator is decreasing over time.
51,Indicator results,climate (wind) indicators,"Selected ecosystem indicators for bluefish with time series ranging from 1985 - present: (a) mean crossshore wind in the central Atlantic in April and May, and (b) mean alongshore wind in the central Atlantic in April and May. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Three line plots showing the values of wind-related climate indicators over time with year on the x-axis and indicator value on the y-axis. The top plot shows the mean crossshore wind velocity in April and May. There is no trend over time. The bottom plot shows the mean alongshore wind velocity in April and May. There is no trend over time.
52,Indicator results,mortality indicators (spring),"Selected ecosystem indicators for bluefish with time series ranging from 1985 - present: (a) spring condition of large (>=50.0cm) bluefish, (b) fall condition of large (>=50.0cm) bluefish, (c) spring condition of medium (30.3-50.0cm) bluefish, and (d) fall condition of medium (30.3-50.0cm) bluefish. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Four line plots showing bluefish condition over time. The top plot shows large bluefish condition in the spring. The trend is increasing over time. The second plot shows large bluefish condition in the fall. The trend is increasing over time. The third plot shows medium bluefish condition in the spring. There is no trend over time. The bottom plot shows medium bluefish condition in the fall. There is no trend over time.
53,Indicator results,"mortality indicators (fall, mako)","Selected ecosystem indicators for bluefish with time series ranging from 1985 - present: (a) spring condition of small (<=30.3cm) bluefish, (b) fall condition of small (<=30.3cm) bluefish, and (c) shortfin mako shark B/Bmsy in the North Atlantic. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.",Three line plots showing bluefish condition over time and mako shark B/Bmsy over time. The top plot shows small bluefish condition in the spring. There is no trend over time. The middle plot shows small bluefish condition in the fall. There is no trend over time. The bottom plot shows mako shark B/Bmsy. The trend is decreasing over time.
54,Indicator results,recreational indicators,"Selected socioeconomic indicators for bluefish with time series ranging from 1985 - present: (a) number of directed recreational bluefish trips from, (b) proportion of directed recreational bluefish trips relative to other directed trip, (c) total recreational bluefish catch in number of fish, (d) total recreational bluefish landings (lbs). Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.","Top: A line graph showing the number of directed recreational bluefish trips from 1985-2021, which fluctuated over time, reaching a series high in 1991and series low in 2018. Second: A line graph showing the proportion of directed recreational bluefish trips relative to other directed trips from 1985-2021. The proportion of bluefish trips follows an overall decreasing pattern after 1990 and remains historically low after the year 2000. Third: A line graph showing total recreational bluefish catch in number of fish from 1985-2021. Total recreational bluefish catch fluctuates over time with extreme highs in the early 80s, extreme lows in the 90s, above average catch after 2005 but overall decreases after 2014. Bottom: A line graph showing total recreational bluefish landings (lbs) from 1981-2021 where total landings follow an overall decreasing trend and remain below average from 1991-2021."
55,Indicator results,commercial indicators,"Selected socioeconomic indicators for bluefish with time series ranging from 2000 - present: (a) number of commercial vessels landing bluefish, (b) commercial bluefish landings (lbs.), (c) ex-vessel bluefish prices (2021 constant U.S. dollars per lb), (d) total annual commercial bluefish revenue in 2021 constant U.S. dollars, and (e) average annual ultra-low-sulfur number 2 diesel fuel prices (2021 constant U.S. dollars) from 2007-2021. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.","Top: A line graph showing the number of commercial vessels which landed bluefish from 2000-2021. The number of vessels landing bluefish generally decreased over time, with a steep decline after 2017. Second: A line graph showing commercial bluefish landings (lbs.) from 2000-2021 which follow an overall decreasing trend, reaching a series low in 2021. Middle: A line graph showing ex-vessel bluefish prices in 2021 constant U.S. dollars from 2000-2021. Fourth: A line graph showing total annual commercial bluefish revenue in 2021 constant U.S. dollars from 2000-2021. Bluefish revenues fluctuated over the time series, reaching a series high in 2008 and an all-time low in 2021. Bottom: Line graph showing the price of average annual Ultra-low-sulfur number 2 diesel fuel prices in 2021 constant U.S. dollars from 2007-2021. Prices fluctuate over the time series, with values well above the average during 2011-2013 and prices falling below the average during the last 7 years of the time series."
56,Indicator results,community indicators,"Selected socioeconomic indicators for bluefish with time series ranging from 2009-2019: (a) average annual recreational engagement scores for the Northeast region, (b) average annual recreational engagement scores for the Mid-Atlantic region, and (c) average annual recreational engagement scores for the Southeast region. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.","Top: a line graph showing average annual recreational engagement scores for the Northeast region from 2009-2019. Scores fluctuate over time, with a series high in 2016 and series low in 2011. Middle: a line graph showing average annual recreational engagement scores for the Mid-Atlantic region from 2009-2019. Scores fluctuate over time, with a series high in 2017 and series low in 2015. Bottom: a line graph showing average annual recreational engagement scores for the Southeast region from 2009-2019. Scores fluctuate over time, with lower values prior to 2015 and values above average from 2017-2019."
57,Indicator results,community indicators,"Selected socioeconomic indicators for bluefish with time series ranging from 2009-2019: (a) average annual recreational reliance scores for the Northeast region, (b) average annual recreational reliancescores for the Mid-Atlantic region, and (c) average annual recreational reliancescores for the Southeast region. Upper and lower solid green horizontal lines are plus and minus one standard deviation of the time series mean. Dotted green horizontal line is the mean of the time series.","Top: a line graph showing average annual recreational reliance scores for the Northeast region from 2009-2019. There is an overall increasing trend with scores steadily increasing after 2014 to a series high in 2019. Middle: a line graph showing average annual recreational reliance scores for the Mid-Atlantic region from 2009-2019. Scores fluctuate over time dropping significantly from 2014 to 2015 but then mostly increase from 2015-2019. Bottom: a line graph showing average annual recreational reliance scores for the Southeast region from 2009-2019. Scores are consistent from 2009-2014, rise in 2015 then sharply decline in 2014, falling well below the average score. Scores rise again in 2017 but fall drastically from 2017-2019."
