DATA_VALUE,YEAR,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
0.90,2015,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.88,2016,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.89,2017,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
1.10,2018,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
1.01,2019,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.96,2020,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.97,2021,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
4014423,2000,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3807836,2001,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3357696,2002,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2730852,2003,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2973316,2004,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3014981,2005,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3089608,2006,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3373178,2007,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
4367709,2008,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3383848,2009,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3513294,2010,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3605056,2011,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3699149,2012,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3409150,2013,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3376425,2014,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3330315,2015,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3219669,2016,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3089207,2017,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2224122,2018,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2630088,2019,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
1922642,2020,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
1944990,2021,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
1.97,2006,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.15,2007,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.98,2008,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.70,2009,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.20,2010,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.02,2011,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.11,2012,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.01,2013,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.80,2014,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.66,2015,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.36,2016,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.66,2017,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.10,2018,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.94,2019,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.25,2020,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.07,2021,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
831,2000,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
841,2001,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
935,2002,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
851,2003,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
813,2004,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
800,2005,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
833,2006,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
774,2007,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
744,2008,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
743,2009,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
742,2010,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
767,2011,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
805,2012,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
749,2013,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
710,2014,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
640,2015,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
655,2016,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
696,2017,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
521,2018,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
528,2019,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
430,2020,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
429,2021,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
